Date, Time, Temperature, Humidity, Signal for fan
[dd/mm/yy],[hh:mm:ss],[°C],[%], [-]
02/05/17, 14:54:59, 55, 18, 1
02/05/17, 14:55:30, 55, 18, 1
02/05/17, 14:56:01, 55, 18, 1
02/05/17, 14:56:33, 55, 18, 1
02/05/17, 14:57:03, 55, 18, 1
02/05/17, 14:57:36, 55, 18, 1
02/05/17, 14:58:07, 55, 18, 1
02/05/17, 14:58:37, 55, 18, 1
02/05/17, 14:59:10, 55, 18, 1
02/05/17, 14:59:40, 55, 18, 1
02/05/17, 15:00:12, 55, 18, 1
02/05/17, 15:00:42, 55, 18, 1
02/05/17, 15:01:12, 55, 18, 1
02/05/17, 15:01:42, 55, 18, 1
02/05/17, 15:02:12, 55, 18, 1
02/05/17, 15:02:44, 55, 18, 1
02/05/17, 15:03:14, 55, 18, 1
02/05/17, 15:03:44, 55, 18, 1
02/05/17, 15:04:15, 55, 18, 1
02/05/17, 15:04:45, 55, 18, 1
02/05/17, 15:05:19, 55, 18, 1
02/05/17, 15:05:51, 55, 18, 1
02/05/17, 15:06:21, 55, 18, 1
02/05/17, 15:06:51, 55, 18, 1
02/05/17, 15:07:25, 55, 18, 1
02/05/17, 15:07:59, 55, 18, 1
02/05/17, 15:08:31, 55, 18, 1
02/05/17, 15:09:02, 55, 18, 1
02/05/17, 15:09:33, 55, 18, 1
02/05/17, 15:10:04, 55, 18, 1
02/05/17, 15:10:35, 55, 18, 1
02/05/17, 15:11:06, 55, 18, 1
02/05/17, 15:11:39, 55, 18, 1
02/05/17, 15:12:11, 55, 18, 1
02/05/17, 15:12:47, 55, 18, 1
02/05/17, 15:13:18, 55, 18, 1
02/05/17, 15:13:51, 55, 18, 1
02/05/17, 15:14:21, 55, 17, 1
02/05/17, 15:14:54, 55, 18, 1
02/05/17, 15:15:29, 57, 17, 1
02/05/17, 15:16:19, 55, 18, 1
02/05/17, 15:16:51, 55, 18, 1
02/05/17, 15:17:25, 55, 18, 1
02/05/17, 15:17:56, 55, 17, 1
02/05/17, 15:18:36, 55, 18, 1
02/05/17, 15:19:19, 55, 18, 1
02/05/17, 15:19:51, 55, 18, 1
02/05/17, 15:20:30, 55, 18, 1
02/05/17, 15:21:00, 55, 18, 1
02/05/17, 15:21:38, 55, 18, 1
02/05/17, 15:22:13, 55, 18, 1
02/05/17, 15:22:45, 55, 18, 1
02/05/17, 15:23:18, 55, 18, 1
02/05/17, 15:23:52, 55, 18, 1
02/05/17, 15:24:23, 55, 18, 1
02/05/17, 15:24:59, 55, 18, 1
02/05/17, 15:25:30, 55, 18, 1
02/05/17, 15:26:01, 55, 18, 1
02/05/17, 15:26:33, 55, 18, 1
02/05/17, 15:27:03, 55, 18, 1
02/05/17, 15:27:36, 55, 18, 1
02/05/17, 15:28:08, 55, 18, 1
02/05/17, 15:28:45, 55, 18, 1
02/05/17, 15:29:15, 55, 18, 1
02/05/17, 15:29:51, 55, 18, 1
02/05/17, 15:30:21, 55, 18, 1
02/05/17, 15:30:51, 55, 17, 1
02/05/17, 15:31:22, 55, 18, 1
02/05/17, 15:31:52, 55, 18, 1
02/05/17, 15:32:23, 55, 18, 1
02/05/17, 15:32:53, 55, 18, 1
02/05/17, 15:33:24, 55, 18, 1
02/05/17, 15:33:54, 55, 17, 1
02/05/17, 15:34:25, 55, 18, 1
02/05/17, 15:34:56, 55, 18, 1
02/05/17, 15:35:27, 55, 18, 1
02/05/17, 15:35:58, 55, 18, 1
02/05/17, 15:36:30, 55, 18, 1
02/05/17, 15:37:00, 55, 18, 1
02/05/17, 15:37:30, 55, 18, 1
02/05/17, 15:38:00, 55, 18, 1
02/05/17, 15:38:30, 55, 18, 1
02/05/17, 15:39:00, 55, 18, 1
02/05/17, 15:39:31, 55, 17, 1
02/05/17, 15:40:01, 55, 18, 1
02/05/17, 15:40:31, 55, 18, 1
02/05/17, 15:41:01, 55, 17, 1
02/05/17, 15:41:32, 55, 18, 1
02/05/17, 15:42:03, 55, 18, 1
02/05/17, 15:42:33, 55, 18, 1
02/05/17, 15:43:06, 55, 18, 1
02/05/17, 15:43:40, 55, 18, 1
02/05/17, 15:44:10, 55, 18, 1
02/05/17, 15:44:40, 55, 18, 1
02/05/17, 15:45:11, 55, 18, 1
02/05/17, 15:45:41, 55, 18, 1
02/05/17, 15:46:14, 55, 18, 1
02/05/17, 15:46:44, 55, 17, 1
02/05/17, 15:47:14, 55, 18, 1
02/05/17, 15:47:46, 55, 18, 1
02/05/17, 15:48:16, 55, 17, 1
02/05/17, 15:48:49, 55, 18, 1
02/05/17, 15:49:20, 55, 18, 1
02/05/17, 15:49:50, 55, 17, 1
02/05/17, 15:50:21, 55, 18, 1
02/05/17, 15:51:05, 55, 18, 1
02/05/17, 15:51:36, 55, 18, 1
02/05/17, 15:52:06, 55, 18, 1
02/05/17, 15:52:40, 55, 18, 1
